YEAR_MONTH,SIDO,TARGET_COUNT,TEMP_AVG,TEMP_MAX,HUMIDITY,RAIN,THI,CPI_AGRI,CPI_TOTAL,RESTAURANT_DENSITY,VIOLATION_RATE,TARGET
2024-05,대전광역시,6.0,17.716175459874673,33.4,67.52164622416974,119.34536082474227,62.72419013774592,121.9,114.1,23164,0.2590226213089276,1
2024-05,강원특별자치도,13.0,17.716175459874673,33.4,67.52164622416974,119.34536082474227,62.72419013774592,121.9,114.1,43926,0.2959522833856941,1
2024-05,대구광역시,9.0,17.716175459874673,33.4,67.52164622416974,119.34536082474227,62.72419013774592,121.9,114.1,37976,0.23699178428481144,1
2024-05,제주특별자치도,2.0,17.716175459874673,33.4,67.52164622416974,119.34536082474227,62.72419013774592,121.9,114.1,24251,0.08247082594532185,0
2024-05,울산광역시,1.0,17.716175459874673,33.4,67.52164622416974,119.34536082474227,62.72419013774592,121.9,114.1,19964,0.050090162292125824,0
2024-05,경상남도,6.0,17.716175459874673,33.4,67.52164622416974,119.34536082474227,62.72419013774592,121.9,114.1,67454,0.08894950633023986,0
2024-05,경기도,36.0,17.716175459874673,33.4,67.52164622416974,119.34536082474227,62.72419013774592,121.9,114.1,183285,0.1964154186103609,1
2024-05,부산광역시,2.0,17.716175459874673,33.4,67.52164622416974,119.34536082474227,62.72419013774592,121.9,114.1,55922,0.03576409999642359,0
2024-05,인천광역시,3.0,17.716175459874673,33.4,67.52164622416974,119.34536082474227,62.72419013774592,121.9,114.1,41726,0.07189761779226382,0
2024-05,서울특별시,8.0,17.716175459874673,33.4,67.52164622416974,119.34536082474227,62.72419013774592,121.9,114.1,138619,0.05771214624257858,0
2024-05,광주광역시,1.0,17.716175459874673,33.4,67.52164622416974,119.34536082474227,62.72419013774592,121.9,114.1,22065,0.04532064355313845,0
2024-05,경상북도,10.0,17.716175459874673,33.4,67.52164622416974,119.34536082474227,62.72419013774592,121.9,114.1,54980,0.18188432157148055,1
2024-05,충청남도,1.0,17.716175459874673,33.4,67.52164622416974,119.34536082474227,62.72419013774592,121.9,114.1,42097,0.02375466185238853,0
2024-05,충청북도,1.0,17.716175459874673,33.4,67.52164622416974,119.34536082474227,62.72419013774592,121.9,114.1,31440,0.031806615776081425,0
2024-05,전북특별자치도,2.0,17.716175459874673,33.4,67.52164622416974,119.34536082474227,62.72419013774592,121.9,114.1,31373,0.06374908360692315,0
2024-05,전라남도,1.0,17.716175459874673,33.4,67.52164622416974,119.34536082474227,62.72419013774592,121.9,114.1,37127,0.026934575915102215,0
2024-05,세종특별자치시,0.0,17.716175459874673,33.4,67.52164622416974,119.34536082474227,62.72419013774592,121.9,114.1,4829,0.0,0
2024-06,대전광역시,8.0,22.675512501481215,37.7,71.32672236046925,145.50515463917526,70.40797645934353,119.5,113.84,23164,0.3453634950785702,1
2024-06,강원특별자치도,2.0,22.675512501481215,37.7,71.32672236046925,145.50515463917526,70.40797645934353,119.5,113.84,43926,0.04553112052087602,0
2024-06,대구광역시,1.0,22.675512501481215,37.7,71.32672236046925,145.50515463917526,70.40797645934353,119.5,113.84,37976,0.026332420476090163,0
2024-06,제주특별자치도,0.0,22.675512501481215,37.7,71.32672236046925,145.50515463917526,70.40797645934353,119.5,113.84,24251,0.0,0
2024-06,울산광역시,9.0,22.675512501481215,37.7,71.32672236046925,145.50515463917526,70.40797645934353,119.5,113.84,19964,0.45081146062913247,1
2024-06,경상남도,5.0,22.675512501481215,37.7,71.32672236046925,145.50515463917526,70.40797645934353,119.5,113.84,67454,0.07412458860853322,0
2024-06,경기도,25.0,22.675512501481215,37.7,71.32672236046925,145.50515463917526,70.40797645934353,119.5,113.84,183285,0.13639959625719508,0
